tif_number,total_payments
T-001,910756.9
T-002,0
T-004,168402.2
T-005,0
T-009,0
T-011,0
T-013,10482824.2
T-021,0
T-023,1508793.69
T-024,1000000
T-027,140820
T-029,21986.25
T-030,11636459.9
T-033,114780.54999999999
T-034,209925.29
T-035,0
T-036,46556.36
T-037,54245548
T-038,283490.52
T-042,0
T-043,217487.5
T-045,0
T-048,4315732.95
T-052,6552683.6
T-053,1658516.51
T-054,1900773.71
T-055,3032985.01
T-056,165664.4
T-057,161597.78
T-058,3458635.7
T-059,0
T-060,231673.06
T-061,85070.7
T-062,5319804.5
T-063,2750000
T-064,1119467.18
T-065,1444653
T-066,1166014.19
T-067,217404
T-068,9748989
T-069,86635.99
T-070,1795182.6
T-071,722603.64
T-072,5351252.3
T-073,242930.4
T-074,1419845.4
T-075,72505.74
T-076,14319
T-077,559205
T-078,0
T-079,0
T-081,705034.65
T-082,2083426.47
T-083,1219577.25
T-084,3861482.1
T-085,585252.36
T-086,33949964.45
T-087,2172944.5
T-088,388754.11
T-089,250879.24
T-090,0
T-091,181138.63
T-092,66423.53
T-093,0
T-094,52954.54
T-095,9416407.61
T-096,1320000
T-097,0
T-098,45191
T-099,640950.85
T-100,3513156
T-101,484569.71
T-102,377601.48
T-103,20184
T-104,2843247.2
T-105,6362870
T-106,294648
T-107,325000
T-108,3494623.6
T-109,459689.12
T-110,12930031.16
T-111,856113.9
T-112,242669.19999999998
T-113,0
T-114,893367
T-115,1642973.8
T-116,410875
T-117,1644480.2
T-118,9090255.25
T-119,431901.6
T-121,419916.04
T-123,61596.23
T-124,354785.3
T-125,4059152.79
T-126,683843
T-127,285028.5
T-128,114510.95999999999
T-129,2998633
T-131,3498578
T-133,2190858
T-134,0
T-135,0
T-136,89317.8
T-139,91601
T-140,925346.8
T-141,1369345.1
T-142,4677500
T-143,570452.74
T-144,576000
T-145,0
T-146,0
T-147,16047634
T-148,0
T-149,6661826
T-150,2026840.88
T-151,140443.9
T-152,160875
T-153,117379
T-154,0
T-155,0
T-156,224574.65
T-157,1496414.05
T-158,649596
T-160,0
T-161,2188295.35
T-163,107250
T-165,0
T-166,1891617.5
T-167,286478.6
T-169,1043273
T-171,206337.04
T-172,918344
T-173,0
T-174,84635
T-175,184442.3
T-176,26343
T-177,1296326
T-178,1672079.23
T-181,0
